farm_name,zone,city,turbines,latitude,longitude
A Capelada I,La Coruna (Galicia),"Cariño, Cedeira, Ortigueira",50,43.717,-7.937
A Capelada II,La Coruna (Galicia),"Cariño, Cedeira, Ortigueira",45,43.687,-7.96
A Pastoriza,Lugo (Galicia),"A Pastoriza, Mondoñedo, Riotorto",10,43.374,-7.327
A Ruña,La Coruna (Galicia),"Muros, Mazaricos",41,42.94,-8.99
Ablitas,Navarra,Ablitas,0,41.973,-1.644
Abote,SC Tenerife (Tenerife),Arico,0,28.152,-16.48
Abuela Santa Ana,Albacete (Castilla-La Mancha),Pozo Llorente ,25,39.053,-1.502
Abuela Santa Ana Modificación,Albacete (Castilla-La Mancha),Pozo Llorente,8,39.053,-1.502
Acampo Arias,Zaragoza (Aragon),Zaragoza ,15,41.554,-0.784
Acampo Armijo,Zaragoza (Aragon),Zaragoza,24,41.66,-0.87
Acampo Hospital,Zaragoza (Aragon),Zaragoza,3,41.649,-0.89
Adraño,La Coruna (Galicia),"Carnota, Mazaricos",36,42.91,-9.04
Aer. Agaete ,Las Palmas (Canarias),Agaete ,1,28.1,-15.7
Aer. Fábrica Acsa ,Las Palmas (Canarias),Agüimes ,1,27.904,-15.446
Aer. La Aldea,Las Palmas (Canarias),San Nicolás de Tolentino ,1,27.99,-15.781
Aer. Pozos Piletas,Las Palmas (Canarias),Agüimes ,1,27.904,-15.446
Aerogenerador Experimental G87 (Lubián),Zamora (Castilla y Leon),Lubián ,1,42.035,-6.908
Aerogenerador Experimental G90,Zamora (Castilla y Leon),Lubián,1,42.04,-6.91
Aerogenerador I+D Gamesa,Zamora (Castilla y Leon),Pías,1,42.08,-6.998
Aerogenerador R 225 kW Lezuza,Albacete (Castilla-La Mancha),Lezuza,0,38.939,-2.295
Aeropuerto La Palma,Las Palmas (Canarias),La Palma,2,28.622,-17.751
Agón,Zaragoza (Aragon),"Agón, Magallón",0,41.846,-1.457
Ágreda,Soria (Castilla y Leon),Ágreda,12,41.853,-1.92
Aguallal,Zamora (Castilla y Leon),"Lubián, Pias",18,42.05,-6.96
Aguallal Ampliación,Zamora (Castilla y Leon),"Lubián, Pias",28,42.05,-6.96
Aguatona,Las Palmas (Canarias),Ingenio ,2,27.933,-15.419
Aibar,Navarra,"Lumbier, Aibar, Urraúl",52,42.64,-1.391
Aizkibel,Navarra,Cendea de Galar,18,42.72,-1.695
Alaiz,Navarra,"Olóriz,Unzué",54,42.68,-1.58
Alba de Tormes,Salamanca (Castilla y Leon),,3,40.826,-5.513
Alcarama I,Logroño (La Rioja),Cervera del Río Alhama,8,42.004,-2.046
Alcarama II,Logroño (La Rioja),Cervera del Río Alhama,53,42.004,-2.046
Alconada,Palencia (Castilla y Leon),Ampudia,3,41.91,-4.78
Aldeavieja,Avila (Castilla y Leon),"Sta, Maria del Cubillo",22,40.72,-4.47
Alentisque,Soria (Castilla y Leon),Alentisque,31,41.403,-2.325
Alhambra,Ciudad Real (Castilla-La Mancha),"Alhambra, La Solana, Membrilla",17,38.868,-3.126
Alijar,Cadiz (Andalucía),Jeréz de la Frontera,16,36.737,-6.28
Alijar II,Cadiz (Andalucía),Jeréz de la Frontera,11,36.747,-6.256
Alisio,Las Palmas (Fuerteventura),Pájara,4,28.35,-14.113
Alisio Offshore,Offshore,,0,27.82,-15.38
Allueva,Teruel (Aragon),"Allueva, Fonfría, Adanón",7,40.999,-1.04
Almaren,Zaragoza (Aragon),Sestrica,14,41.467,-1.623
Almendarache,Cadiz (Andalucía),Tarifa,11,36.01,-5.6
Almendros I,Murcia,Jumilla,12,38.658,-1.435
Almendros II,Murcia,Jumilla,14,38.664,-1.428
Almeriques,Cadiz (Andalucía),"Medina, Sidonia",13,36.463,-5.945
Alta Anoia,Tarragona (Cataluna),"Pujalt, Veciana, Prats de Rei, Calonge de Segarra ",15,41.717,-1.451
Altamira,Málaga (Andalucía),"Teba, Almargen (Málaga)",25,37.029,-5.01
Alto Casillas I,Castellon (Comunidad Valenciana),"Barracas, Viver",15,39.999,-0.627
Alto Casillas II,Castellon (Comunidad Valenciana),Pina de Montalgrao ,15,39.999,-0.627
Alto de Croa I,La Coruna (Galicia),,2,43.014,-9.051
Alto de Croa II,La Coruna (Galicia),,4,43.014,-9.051
Alto de la Degollada,Burgos (Castilla y Leon),Castrojériz ,25,42.288,-4.139
Alto de Pocillo,Palencia (Castilla y Leon),Monzón de Campos,2,42.119,-4.49
Alto de Seixal,Lugo (Galicia),"Abadín, A Pastoriza (Lugo)",15,43.377,-7.383
Alto d´Abara,Asturias,"El Franco, Coaña",3,43.521,-6.788
Alto Palancia I,Castellon (Comunidad Valenciana),"Barracas, Viver",13,40.02,-0.7
